text,label
 what's your favorite song? :D,False
 I like too many songs to have a favorite,False
 <3,False
 </3 ? haha jk! <33,False
" ""hey angel  you duh sexy""",False
 Really?!?! Thanks?! haha,False
 (:,False
 ;(,False
 ******************MEOWWW*************************,False
 *RAWR*?,False
 any makeup tips? i suck at doing my makeup lol,False
 Sure! Like tell me wht u wnna know?! Like wht do you use?!,False
 Apriiiiiiiiiiiill!!! I miss uuuu! It's Emma btw haha,False
 EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333,False
 Are you a morning or night person?,False
 Night 4shuree!!,False
 are you a trusting person?,False
 alreadi answrd,False
 are you a trusting person?,False
 Yes veryy trustin person!!! May i help yuh:!,False
 Are you and @TruAce best friends?,False
 Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk,False
 Are you more of a talker or more of a listener?,False
 Listener definitely chuz i get cut off alot so i just listen or ignore pplz!,False
 Are yuh single and ready 2 mingle?!,False
 Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!,False
 ask me something!!!,False
 :),False
 BAHAHAhAHA....took you longer enough;p......GEES GIRL hahah...no its totally okay:) i just wanted to play guess who i am hahaha..i fuckinggg love you too;) <3,False
 Hahahahhaahhaha:D ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha,False
 bahahahahhaha ;p,False
 lmaoo!!!!,False
 Bitch u thee bomb like Tick TICK!,True
 Hahah(: Thanks!,False
 can you please sing a cover of any justin bieber song? :D,False
" Hahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate ""SMILE"" 2 yuh! Its playing!!",False
 Cats or Dogs?,False
 Dogs! Im allergic 2 cats=,False
 Chocolate or Vanilla?,False
 Chocolate! Bahah!,False
 definitely true! :D i've been learnin it for 5 years cuz i've frensh origins haha ;),False
 Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!,False
 Did u watch bieber on oprah?,False
 Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!,False
 Do you believe in life after death?,False
 Yes of course i do... Its called Eternity with God in heaven!<3,False
 Do you believe in luck?,False
 Yes  bhut I think luck is blessing from God actually! in my opinioN!,False
 Do you believe there's intelligent life on other planets?,False
 If God created them then hellz yes!,False
 Do you consider yourself a good dancer?,False
 Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha,False
 do you have a bf??,False
 Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!,False
 Do you have any favorite YouTube star?,False
 I have 2 actually! Justin Bieber (ofcourse) && Scipio Mondai!,False
 do you have any memories you'd like to forget?,False
 Actually i do!!! Just my whole experience with this fake a$$ friend!!</3,False
 Do you have any piercings?,False
 Yuppers! Nose and Cartilage piercings(;,False
 Do you have any scars on your body?  If so  how'd you get them?,False
 Hahaha. Strange!:S,False
 do you like atlanta  GA ?,False
 yes i love ATL!! great place 2 live  wish i lived there! ;D,False
 do you think that a size 10 is fat? i'm trying to be a size 5 by the end of the year.,False
 Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!,False
 do you think you're a good friend?,False
 Fuck yes i think i am! haha,False
 do you watch american idol? if so  who are you voting for this season?,False
 Awww man you just reminded me! I wtch it sometimes bhut i love Big Mike! Pplz are really wrong bout letting Katie go!! Argh . .,False
 Do yuh have any stalkers?,False
 Hell yes! Lots of them and thats including yuh!<3,False
 don't listen to the haters  you are pretty!,False
 :D thank you gurl/boy ? I really appreciate it!<33,False
 Favorite store?,False
 ATM Rue 21;D Or Forever21 <3,False
 Fuck Justin bieber. He's a fucking fag,False
 UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good,True
 growl;],False
 Meowl?;D If thts a word haha<3,False
 guesss who ;),False
 Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?,False
 -Haa you guessedd righhtttt:Dr its Maryyyy(: ahhh ilovee this picture!!!!!!!!!! mayb becuase youhr in it babe<3,False
 Off courrseeee dudee hahahahaha!!!! Awhhh lol! i think i love it 2 chuz im in it lol!!!! jk! i love yuh!!,False
" haaa its all qud  sorry abouht the ""hoe"" thinq  iwas mad lol",False
 lmfao! haha! Nahh its my badd;),False
 haha ;)so.. have u ever been to france?,False
 Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha,False
 haha check inside ur closet u mind find out who it is(;,False
 Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk,False
 HAHA NOPE IM NOT TAQUISHA EITHER....i TALK TO YOU ALOT ON TWITTER;) <3,False
 OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!,False
 HAHAH GUESS WHO!? <3,False
 Mary?! lol hahahaha,False
 hahah okey dokey!..sweet thang(;,False
 Mwahaha!!! Sweet thang! i love it!!,False
 Hahah. Funny how u defend that beiber kid.,False
 & its also funny how u stalked my whole twitter! Nice goin! BITCH!,True
 HAHAHA NOPE! ...,False
 Uhhhhh!!!! OMG! Taquisha? LOL!,False
 Have u ever licked thee floor?,True
 Hahaha.. Yup!(: Its my job,False
 have u seen JUSTIN BIEBER in person? (:,False
 Nope:[ I wish  bhut hey i might someday rite haha..Hbu?!,False
 Have you broken any bones?  If so  how?,False
 Haha nahh ive just fractured some thumbs bhut itz all good lol,False
 have you ever been on itellyouthat.com? go there and tell something to the world :D,False
 Hahah OHKAY?!,False
 have you ever had your heart broken?,False
 Yup yup!!:P,False
 hehe yup  it's awesome  but the pronunciation is incredibly haaard :D,False
 haha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah,False
 Hello bitch! How's ur day going? Good I hope :) it's beautiful and sunny!,True
 Ohh heyy bitchh!!! its goin good..:D thx 4 askin,False
 Hello. My friend is also named April.,False
 Nicee!,False
 Hello?,False
 Hey  hows yah momma?!,False
 -Hellz yeahh(: of course i'm qoinqq i wannah b with you quy's  like duhh<3,False
 ahahaha!!!(: It wuzz funn!(: lmao<3,False
 Hey my name is April too! Haha. People named April are always cool. LOL.,False
 Hahaha!!! Ohh cool wait are yuh thee april on twitter?! april2? haha yay! We beasts yo! haa,False
 hey you're an amazing nice and sweet girl..pretty too!,False
 Awwhhh!!!Thank yuh Jacob ur really nice!!! Might be my new bestie <33 Thank YUH SO MUCH!,False
 Hey. Why you such a bitch?,True
 Why thank yuh!,False
 Heyyy Abrilll(:!!! iloveyhuuu<3 muchooo!!,False
 Heyy Marribbbiii!! lmao! iloveyuhhh muchooo moeee!!!;) are yuh goin tmrw?!,False
 heyyyyyy!!! how u doin!!!!!,False
 Im doing good thankyuh!!!Heyyy hbu?!,False
 heyyyyyyyy!!!!wats up!?!?(*)-),False
 Heyy ghurrr!!! Wuzz upp!! haha nuttin much just busyy!! hbu ma?,False
 Hi April!!!,False
 Heyy :D,False
 how many languages do u speak?,False
 Umm.. i think 2 bhut english is my first! im learnin french! ;d hbu?!,False
 how old are u ? And how do you know michael?,False
 Who the hell are yuh!!! And who tha fuck is michael!?,True
 How would you describe your personality?,False
